,NumofPoints,comission,fn,fp,omission,overall_accuracy,precision,recall,tn,tp
0,10,1.0,0,1,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.0,3,2
1,50,0.8571428571428571,2,2,0.8571428571428571,0.8857142857142857,0.8571428571428571,0.8571428571428571,19,12
2,100,0.9230769230769231,2,6,0.8,0.8873239436619719,0.8,0.9230769230769231,39,24
3,250,0.8913043478260869,5,11,0.7884615384615384,0.8823529411764706,0.7884615384615384,0.8913043478260869,79,41
4,500,0.9152542372881356,10,34,0.7605633802816901,0.8603174603174604,0.7605633802816901,0.9152542372881356,163,108
