system:index,B1,B2,B3,B4,B5,B7,MNDWI,NDVI,analyst,date,dfoID,id,lat,lon,random,strata,validation,.geo
0,223.4282804011701,536.8588069368994,336.3175407438363,3263.0429899707487,1488.2289490179694,667.9955077308821,-0.7174937849726529,0.8131116083843157,SiL,06/27/2018,4516,0,22.75538641987198,-74.20646667480469,0.685179900249201,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.20766681125995,22.754324614897396],[-74.20524322343609,22.754324614897396],[-74.20524322343609,22.7565738991147],[-74.20766681125995,22.7565738991147],[-74.20766681125995,22.754324614897396]]]}"
1,541.4586704743772,945.5159976730654,982.7230948225708,3445.2334866994547,3217.252842561743,1702.9529853508911,-0.5707776994726741,0.5590622052389087,SiL,06/27/2018,4516,1,20.981415800003802,-73.42060089111328,0.9532195601762052,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.42162599307154,20.980151928764226],[-73.41923234207252,20.980151928764226],[-73.41923234207252,20.982401212981223],[-73.42162599307154,20.982401212981223],[-73.42162599307154,20.980151928764226]]]}"
10,351.61039716537124,702.7222486646572,737.2112750542072,3077.019038553072,2080.2022846263694,1006.1078322491941,-0.6266552169244087,0.6099603727105601,SiL,06/27/2018,4516,10,21.080035311143398,-73.5303783416748,0.5814896361059977,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.53167040797553,21.078966610017215],[-73.52927516925025,21.078966610017215],[-73.52927516925025,21.08121589423423],[-73.53167040797553,21.08121589423423],[-73.53167040797553,21.078966610017215]]]}"
100,15.35514908014379,267.6481285684076,566.8480122647492,92.62063861281452,102.53621272996403,85.00195601607105,0.4925651117826574,-0.7217676371737126,SiL,06/27/2018,4516,100,21.068742642618883,-73.36197853088379,0.04793898737978042,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.36323620190264,21.067737668965734],[-73.36084114406573,21.067737668965734],[-73.36084114406573,21.06998695318275],[-73.36323620190264,21.06998695318275],[-73.36323620190264,21.067737668965734]]]}"
101,1623.1948910514066,2686.334144277553,2836.6705627247725,407.69827586206884,285.6824624497566,179.60022212819968,0.7732573900059395,-0.7858323675052827,SiL,06/27/2018,4516,101,21.03509982668625,-73.65397453308105,0.8136142871768215,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.65518839869875,21.03405084581131],[-73.65279388281121,21.03405084581131],[-73.65279388281121,21.036300130028316],[-73.65518839869875,21.036300130028316],[-73.65518839869875,21.03405084581131]]]}"
102,672.7671038437518,712.253846590587,417.6335661159372,263.81490944188954,102.1874183841481,69.0127178788395,0.4623343810931713,-0.227244033000306,SiL,06/27/2018,4516,102,29.61614725847454,-84.94817733764648,0.23095104899171626,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-84.94934531600288,29.61520759734897],[-84.94677450415496,29.61520759734897],[-84.94677450415496,29.61745688156754],[-84.94934531600288,29.61745688156754],[-84.94934531600288,29.61520759734897]]]}"
103,1660.0976022865616,2342.034880643625,2572.8031546075276,3152.4758905414715,2494.325199809454,1384.705764039592,-0.0934264617752212,0.055001714255280686,SiL,06/27/2018,4516,103,20.978931444824784,-73.57990264892578,0.5499477856505532,1,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.58107693804294,20.977906140553934],[-73.57868332302141,20.977906140553934],[-73.57868332302141,20.980155424770928],[-73.58107693804294,20.980155424770928],[-73.58107693804294,20.977906140553934]]]}"
104,-70.7997568324787,167.40841571073628,443.81392398371804,86.96918115980331,84.55045726066497,66.54332082254055,0.38071143563114546,-0.6969010642355136,SiL,06/27/2018,4516,104,21.16298206080086,-73.39570999145508,0.41901713689362796,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.3969237854315,21.16206077379813],[-73.39452720442084,21.16206077379813],[-73.39452720442084,21.16431005801516],[-73.3969237854315,21.16431005801516],[-73.3969237854315,21.16206077379813]]]}"
105,989.9892439267539,1069.6350280707286,302.3972401490111,165.71750878849883,161.5218531927174,141.43344351749826,0.7209783968569224,-0.281275435944214,SiL,06/27/2018,4516,105,22.279188724088293,-74.14363861083984,0.8454259490052407,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.14478058062944,22.278217514314818],[-74.1423653275577,22.278217514314818],[-74.1423653275577,22.28046679853204],[-74.14478058062944,22.28046679853204],[-74.14478058062944,22.278217514314818]]]}"
106,218.4104773484167,1145.3272717661357,1158.2010889675948,46.631125442723466,97.17185600253738,86.7986995823862,0.9223319111163502,-0.9231213400465905,SiL,06/27/2018,4516,106,21.048557865442042,-73.44051361083984,0.14685273468734883,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.44183862687301,21.047525575073077],[-73.43944389433449,21.047525575073077],[-73.43944389433449,21.04977485929009],[-73.44183862687301,21.04977485929009],[-73.44183862687301,21.047525575073077]]]}"
