system:index,B1,B2,B3,B4,B5,B7,MNDWI,NDVI,analyst,date,dfoID,id,lat,lon,random,strata,validation,.geo
0,691.4010365597421,968.1850399215573,865.3761030956716,3386.576971564645,2295.099873931923,1211.8681888219637,-0.5484816077546439,0.5866357335247149,SiL,06/01/2018,4507,0,25.40992422524129,86.63457870483398,0.6715896480280834,0,-99,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[86.6334137019431,25.40884627946626],[86.63588801088773,25.40884627946626],[86.63588801088773,25.411095563684032],[86.6334137019431,25.411095563684032],[86.6334137019431,25.40884627946626]]]}"
1,526.8176201372995,792.5508009153314,615.5516399694885,4254.68375286041,2348.693592677344,1101.7048054919903,-0.6829943875131682,0.743678577530752,SiL,06/01/2018,4507,1,25.47960130734595,86.10251426696777,0.0635023757728771,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[86.10116118179674,25.478465713985404],[86.10363692162788,25.478465713985404],[86.10363692162788,25.48071499820319],[86.10116118179674,25.48071499820319],[86.10116118179674,25.478465713985404]]]}"
10,615.1287271231754,991.5501233806301,852.7257351429163,2180.3851531976165,945.161577215711,462.8226917540617,-0.3699172580808738,0.4334218576069593,SiL,06/01/2018,4507,10,24.810402764031267,85.58366775512695,0.03814779248898503,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[85.58239086288303,24.809220827317453],[85.58485306583765,24.809220827317453],[85.58485306583765,24.81147011153512],[85.58239086288303,24.81147011153512],[85.58239086288303,24.809220827317453]]]}"
100,931.0584848064376,1559.1681004578868,1532.3081032329671,749.0266407659215,300.4478285000691,202.1314694047452,0.3517658957237824,-0.34413865388716236,SiL,06/01/2018,4507,100,24.799045843940746,86.05745315551758,0.4367914584389748,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[86.05625228658259,24.797991886265986],[86.0587142665309,24.797991886265986],[86.0587142665309,24.80024117048365],[86.05625228658259,24.80024117048365],[86.05625228658259,24.797991886265986]]]}"
101,441.38184869045017,606.5151382505288,499.69373312905805,1031.2786897205808,723.8043335521999,387.42197417378003,-0.1209208902192754,0.22004908277220875,SiL,06/01/2018,4507,101,24.581296330261797,85.4802417755127,0.3531188478460685,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[85.47908686295625,24.580150429867356],[85.4815445432184,24.580150429867356],[85.4815445432184,24.582399714084985],[85.47908686295625,24.582399714084985],[85.47908686295625,24.580150429867356]]]}"
102,995.903262149843,1381.3553541250576,1503.2743893071124,1411.0534132227165,353.64049777231514,270.1199877093255,-0.010620695683946805,-0.03160999795909859,SiL,06/01/2018,4507,102,25.33363122678674,86.0888671875,0.6354836896928752,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[86.08768794722732,25.33248948031622],[86.09016069290851,25.33248948031622],[86.09016069290851,25.334738764533984],[86.08768794722732,25.334738764533984],[86.08768794722732,25.33248948031622]]]}"
103,1041.5851014878067,1357.3729229510718,1420.7178792371808,1305.2094687867486,232.37220716805575,154.12429060790444,0.021126243016916908,-0.04368476758953714,SiL,06/01/2018,4507,103,25.574033692046417,85.45783996582031,0.4523767123087692,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[85.45661899343814,25.572788818817802],[85.4590966803715,25.572788818817802],[85.4590966803715,25.575038103035602],[85.45661899343814,25.575038103035602],[85.45661899343814,25.572788818817802]]]}"
104,1123.6436814119243,1481.4685484783342,1547.9505034506162,2728.364520873401,2445.32712976581,1749.35614888562,-0.2985637423041279,0.2814890310251276,SiL,06/01/2018,4507,104,25.495269944824365,85.83721160888672,0.2030007180911778,1,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[85.83615801131943,25.49418623145747],[85.83863407498913,25.49418623145747],[85.83863407498913,25.496435515675262],[85.83615801131943,25.496435515675262],[85.83615801131943,25.49418623145747]]]}"
105,1090.4335760064714,1435.1939518387153,1531.8153817435132,1414.860680729264,451.8842013564805,337.19370294318975,0.007144179847200528,-0.039698828682709165,SiL,06/01/2018,4507,105,25.872816366379094,86.44609451293945,0.8389352451149791,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[86.44476269564124,25.871478650787058],[86.44724661315034,25.871478650787058],[86.44724661315034,25.87372793500491],[86.44476269564124,25.87372793500491],[86.44476269564124,25.871478650787058]]]}"
106,1150.3283658524094,1660.5214318635738,1815.8243969887853,1236.8070876222662,362.3276488963998,287.84145029958523,0.14630895581717865,-0.189758192208241,SiL,06/01/2018,4507,106,25.26844944808973,86.61440849304199,0.0377673855103684,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[86.61320305155365,25.267361622217667],[86.61567446888978,25.267361622217667],[86.61567446888978,25.269610906435418],[86.61320305155365,25.269610906435418],[86.61320305155365,25.267361622217667]]]}"
107,810.6563967590444,1282.1945089539142,1043.4748929142802,446.64210146049464,169.14955875522523,125.8302110749858,0.48360709463055446,-0.4007546065476723,SiL,06/01/2018,4507,107,24.34545447962705,85.40831565856934,0.6832880236967013,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[85.40722393532259,24.344342667786368],[85.40967701807533,24.344342667786368],[85.40967701807533,24.346591952003955],[85.40722393532259,24.346591952003955],[85.40722393532259,24.344342667786368]]]}"
