system:index,B1,B2,B3,B4,B5,B7,MNDWI,NDVI,analyst,date,dfoID,id,lat,lon,random,strata,validation,.geo
0,350.3418395961862,528.8850252383625,372.6585530005608,2747.0413909141894,1360.1624228827827,506.4058889512056,-0.676326553982058,0.7603848458708161,SiL,06/08/2018,3267,0,-8.034073879230649,-74.65776443481445,0.02176047211715315,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.65898713137113,-8.035431748311744],[-74.65673003069325,-8.035431748311744],[-74.65673003069325,-8.0331824640992],[-74.65898713137113,-8.0331824640992],[-74.65898713137113,-8.035431748311744]]]}"
1,305.8821816552805,526.5090155672523,382.9690894837046,2663.1801433531173,1521.6463209765916,593.7682271250981,-0.6554655260042985,0.7336055460517392,SiL,06/08/2018,3267,1,-8.858358460276316,-74.42868232727051,0.6014037076388791,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.4299191434661,-8.85963602149122],[-74.42765721612352,-8.85963602149122],[-74.42765721612352,-8.8573867372788],[-74.4299191434661,-8.8573867372788],[-74.4299191434661,-8.85963602149122]]]}"
10,234.2320966835301,377.04614952220356,273.9096683530076,2853.5195053400794,1388.4174817313099,473.9147835862846,-0.7661850499745535,0.8244350637326915,SiL,06/08/2018,3267,10,-7.614273612348731,-74.54103469848633,0.9320812733323417,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.54220501008504,-7.61546935298596],[-74.53995018167039,-7.61546935298596],[-74.53995018167039,-7.613220068773351],[-74.54220501008504,-7.613220068773351],[-74.54220501008504,-7.61546935298596]]]}"
100,639.9267841113106,1092.4039497307,1154.4037814183123,1400.2401817773787,492.371409335727,208.55717010771988,-0.09229765423090823,0.06903271912864144,SiL,06/08/2018,3267,100,-8.449704912283126,-74.48052406311035,0.25545266907363273,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.48157104691703,-8.45090256721693],[-74.47931157419868,-8.45090256721693],[-74.47931157419868,-8.448653283004445],[-74.48157104691703,-8.448653283004445],[-74.48157104691703,-8.45090256721693]]]}"
101,456.7039068621962,683.5323519534307,660.427571924325,1785.4182805328544,773.251371319825,313.67256240904476,-0.4095584043869871,0.42476354916235315,SiL,06/08/2018,3267,101,-9.202257052754506,-74.43331718444824,0.773254108922034,1,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.43441179662516,-9.203241617666858],[-74.43214771241956,-9.203241617666858],[-74.43214771241956,-9.20099233345449],[-74.43441179662516,-9.20099233345449],[-74.43441179662516,-9.203241617666858]]]}"
102,480.12525839432385,765.8203810268732,731.532543717526,1579.4765070674343,579.2271076596461,248.2951561539751,-0.3129032572573029,0.3358351427242614,SiL,06/08/2018,3267,102,-9.368365572629532,-74.26259994506836,0.8640869008501975,1,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.26373242875538,-9.369429945228934],[-74.26146727063697,-9.369429945228934],[-74.26146727063697,-9.36718066101659],[-74.26373242875538,-9.36718066101659],[-74.26373242875538,-9.369429945228934]]]}"
103,722.4031460674158,1102.982696629214,1276.6261235955062,1407.2170224719114,268.19522471910125,144.57949438202252,-0.1161231848285047,0.04560748030615992,SiL,06/08/2018,3267,103,-7.863381805309173,-74.78582382202148,0.5251938294991062,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.78699659076405,-7.864751844329075],[-74.78474042874674,-7.864751844329075],[-74.78474042874674,-7.8625025601165035],[-74.78699659076405,-7.8625025601165035],[-74.78699659076405,-7.864751844329075]]]}"
104,488.0313305683219,795.898049546015,789.4705750476406,1892.1375966819871,830.3239547135973,361.8629637932968,-0.3954474305767848,0.3996081229461343,SiL,06/08/2018,3267,104,-8.564131732621458,-74.36362266540527,0.39389161627034697,1,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.36479039730071,-8.565437765942141],[-74.36253024888329,-8.565437765942141],[-74.36253024888329,-8.563188481729675],[-74.36479039730071,-8.563188481729675],[-74.36479039730071,-8.565437765942141]]]}"
105,341.0410253540046,590.3036883640233,451.49706162198464,3047.294957183634,1645.050540101864,628.4888901326468,-0.6752591537522206,0.7417390751658564,SiL,06/08/2018,3267,105,-8.95951912340202,-74.13471221923828,0.7800395077951597,1,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.13572120017498,-8.960696490954643],[-74.13345864733347,-8.960696490954643],[-74.13345864733347,-8.958447206742235],[-74.13572120017498,-8.958447206742235],[-74.13572120017498,-8.960696490954643]]]}"
106,645.3360210538109,967.2448625342972,1077.1099165686785,1234.531832689401,147.23226384456032,66.3496276387256,-0.11087908277508889,0.05799338185801412,SiL,06/08/2018,3267,106,-8.901183448260598,-74.49846267700195,0.15511459946316908,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.49953870937837,-8.902305997486886],[-74.49727651883688,-8.902305997486886],[-74.49727651883688,-8.900056713274472],[-74.49953870937837,-8.900056713274472],[-74.49953870937837,-8.902305997486886]]]}"
