system:index,B1,B2,B3,B4,B5,B7,MNDWI,NDVI,analyst,date,dfoID,id,lat,lon,random,strata,validation,.geo
0,673.8708589189596,816.9082707906903,944.5456371768626,1306.1958911378972,2617.778295807748,2303.201917974377,-0.22843165980050228,0.15845867845229406,CW,06/04/2018,2829,0,47.99359789867388,-96.7811393737793,0.12275029077944599,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.78278720865892,47.99249252221946],[-96.77944754822325,47.99249252221946],[-96.77944754822325,47.99474180644262],[-96.78278720865892,47.99474180644262],[-96.78278720865892,47.99249252221946]]]}"
1,591.139855214244,730.4285267071028,844.5975738603016,1157.0765016630803,2172.0213656818637,1914.7139894345546,-0.226806904254615,0.15655322287282344,CW,06/04/2018,2829,1,46.30929213924435,-96.70260429382324,0.6897117916558368,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.70413260533053,46.30815136449835],[-96.70089714266608,46.30815136449835],[-96.70089714266608,46.31040064872098],[-96.70413260533053,46.31040064872098],[-96.70413260533053,46.30815136449835]]]}"
10,680.1798899335015,880.2645799892992,1015.4714897194832,1645.3067721470618,3056.9378200718497,2515.61652526179,-0.2975149548305954,0.23136599054057713,CW,06/04/2018,2829,10,47.61171817478493,-96.97872161865234,0.13841362959513215,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.98040436327761,47.610708526469345],[-96.9770891575401,47.610708526469345],[-96.9770891575401,47.612957810692386],[-96.98040436327761,47.612957810692386],[-96.98040436327761,47.610708526469345]]]}"
100,331.9896413110698,418.344039888683,291.6362476808905,221.61935683364263,141.6976654298083,92.08600030921464,0.3077701619842237,-0.1365515156253592,CW,06/04/2018,2829,100,46.95606242289595,-96.83727264404297,0.9932768824992086,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.83889931685992,46.954938369063264],[-96.8356249544642,46.954938369063264],[-96.8356249544642,46.957187653286084],[-96.83889931685992,46.957187653286084],[-96.83889931685992,46.954938369063264]]]}"
101,325.370280423481,379.1779304064053,320.4174856752551,273.43763518385003,99.88714757333128,67.8425606192843,0.16220706658793113,-0.07978771936654398,CW,06/04/2018,2829,101,47.964295658894954,-97.14926719665527,0.23622925238465076,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-97.15109553263021,47.96329727548561],[-97.14775776023626,47.96329727548561],[-97.14775776023626,47.96554655970877],[-97.15109553263021,47.96554655970877],[-97.15109553263021,47.96329727548561]]]}"
102,424.1363368321737,577.8724692377247,555.3809411487204,608.817470613673,825.8537170263788,718.0743798403905,0.06501287784308216,-0.02569632151345931,CW,06/04/2018,2829,102,46.03969714645443,-97.05073356628418,0.10191806388337454,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-97.0522218822322,46.03865677926298],[-97.04900223612957,46.03865677926298],[-97.04900223612957,46.040906063485515],[-97.0522218822322,46.040906063485515],[-97.0522218822322,46.03865677926298]]]}"
103,358.66862020138484,466.33370044052907,393.0174638137196,323.75971522970434,227.17369414726258,152.98721680302074,0.18168583351381964,-0.09765997764808058,CW,06/04/2018,2829,103,46.069062384873675,-96.93846702575684,0.27651883537056177,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.9399333216375,46.06785202599679],[-96.93671197298453,46.06785202599679],[-96.93671197298453,46.07010131021935],[-96.9399333216375,46.07010131021935],[-96.9399333216375,46.06785202599679]]]}"
104,377.2855572403336,514.6735026535255,387.27998483699787,362.5098180439728,204.1688400303261,146.00962850644433,0.1730437795511834,-0.03260457174170759,CW,06/04/2018,2829,104,47.97331792416999,-97.16291427612305,0.7699701166036037,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-97.16457055173805,47.9722804283268],[-97.1612321987279,47.9722804283268],[-97.1612321987279,47.97452971254995],[-97.16457055173805,47.97452971254995],[-97.16457055173805,47.9722804283268]]]}"
105,381.6295326961007,531.5623577605825,400.1918525261721,369.83060233651946,215.2195417994234,152.0252996510393,0.1790059501463312,-0.03932533607426013,CW,06/04/2018,2829,105,47.97343284731862,-97.16531753540039,0.25749850060235957,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-97.16681633994835,47.9722804283268],[-97.1634779869382,47.9722804283268],[-97.1634779869382,47.97452971254996],[-97.16681633994835,47.97452971254996],[-97.16681633994835,47.9722804283268]]]}"
106,342.8776361347183,456.3777935158957,399.71136292099493,423.34198929807985,392.14062008183856,246.72005823103552,0.132721838983621,-0.04903445438027203,CW,06/04/2018,2829,106,46.06221387774563,-96.9832706451416,0.2037687507760113,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-96.98484888959125,46.06111466136593],[-96.98162793406853,46.06111466136593],[-96.98162793406853,46.06336394558847],[-96.98484888959125,46.06336394558847],[-96.98484888959125,46.06111466136593]]]}"
