system:index,B1,B2,B3,B4,B5,B7,MNDWI,NDVI,analyst,date,dfoID,id,lat,lon,random,strata,validation,.geo
0,491.7492821929681,850.398938187334,869.4006717590337,3135.855517633674,2313.6126008992906,1282.88726366542,-0.577202251955279,0.581867128924616,SiL,06/08/2018,2948,0,17.013290195880177,106.97250366210938,0.36785942475219213,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[106.97134016654472,17.011844161145625],[106.97367739291862,17.011844161145625],[106.97367739291862,17.01409344536197],[106.97134016654472,17.01409344536197],[106.97134016654472,17.011844161145625]]]}"
1,245.89875550241845,495.92103690016864,323.45307320254346,3026.0168469104965,1452.530242921581,567.2284114993753,-0.6943085908852134,0.7832279040661748,SiL,06/08/2018,2948,1,16.485308264047706,107.3093032836914,0.031088237956463427,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[107.3082116279637,16.484083931725433],[107.3105423842809,16.484083931725433],[107.3105423842809,16.48633321594169],[107.3082116279637,16.48633321594169],[107.3082116279637,16.484083931725433]]]}"
10,2201.5262701295887,2659.4660846933803,3618.383560158327,3757.14661389145,4081.726129154694,3507.465325597788,-0.17984671279090833,0.10138613603702282,SiL,06/08/2018,2948,10,16.833378947432312,107.2196102142334,0.5747871765049215,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[107.21837798232737,16.832181104321734],[107.22071297985121,16.832181104321734],[107.22071297985121,16.834430388538042],[107.21837798232737,16.834430388538042],[107.21837798232737,16.832181104321734]]]}"
100,1098.4988586956529,1310.6286956521747,1394.7453804347833,2229.7892934782617,2187.303152173914,1710.3721195652188,-0.24696492741559373,0.2459149675042857,SiL,06/08/2018,2948,100,16.620154801738035,107.35196113586426,0.7735871813390492,1,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[107.35088079039934,16.618831224343356],[107.3532131764337,16.618831224343356],[107.3532131764337,16.62108050855963],[107.35088079039934,16.62108050855963],[107.35088079039934,16.618831224343356]]]}"
101,276.15951499310245,381.1481158788934,190.2338633558411,202.6327597473317,72.4200972918028,43.931242285631306,0.3083843359724975,0.03086511093740879,SiL,06/08/2018,2948,101,16.251758534854147,107.7854061126709,0.030830019400324815,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[107.7843201208182,16.250521957854364],[107.7866480881503,16.250521957854364],[107.7866480881503,16.252771242070576],[107.7843201208182,16.252771242070576],[107.7843201208182,16.250521957854364]]]}"
102,538.330035335689,626.5162544169609,259.283981154299,150.1132508833922,76.42502944640755,57.42544169611305,0.6044772406128374,-0.24359521480430568,SiL,06/08/2018,2948,102,17.168018500321278,106.99052810668945,0.5557109653782045,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[106.98930550162925,17.166803547656244],[106.99164467229677,17.166803547656244],[106.99164467229677,17.16905283187261],[106.98930550162925,17.16905283187261],[106.98930550162925,17.166803547656244]]]}"
103,273.93319156477037,352.7498670919722,285.5592769803294,202.39854687223095,61.22576643629274,41.64832535885166,0.3081034598343083,-0.2102342140286673,SiL,06/08/2018,2948,103,16.602060080971313,107.51169204711914,0.9343888796020473,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[107.51033186224335,16.600864918660964],[107.51266403010501,16.600864918660964],[107.51266403010501,16.603114202877236],[107.51033186224335,16.603114202877236],[107.51033186224335,16.600864918660964]]]}"
104,417.64134084263003,608.4231019170369,643.0122928625585,414.3395429437888,100.18802122820323,64.06720459222358,0.19511537871789214,-0.21868053477339894,SiL,06/08/2018,2948,104,17.226233862773878,106.75260543823242,0.2943950136519803,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[106.75125158296818,17.22519404112401],[106.75359149154937,17.22519404112401],[106.75359149154937,17.22744332534038],[106.75125158296818,17.22744332534038],[106.75125158296818,17.22519404112401]]]}"
105,549.5280351048269,814.5363779186305,543.3553821983854,360.4985643859364,180.2192426458638,146.4429275692074,0.45950223762481845,-0.2943654362111416,SiL,06/08/2018,2948,105,17.006231658225186,107.1071720123291,0.9416082831764604,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[107.10608750113265,17.00510679651473],[107.10842464343304,17.00510679651473],[107.10842464343304,17.00735608073107],[107.10608750113265,17.00735608073107],[107.10608750113265,17.00510679651473]]]}"
106,273.78297479356814,303.43497392438104,193.45692090395485,115.9310082572795,26.0842025206432,23.28808126901348,0.4487488266142045,-0.2527622109682622,SiL,06/08/2018,2948,106,16.653707768007592,107.45530128479004,0.6538264642476778,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[107.45418684349868,16.652518047497832],[107.45651963933521,16.652518047497832],[107.45651963933521,16.654767331714115],[107.45418684349868,16.654767331714115],[107.45418684349868,16.652518047497832]]]}"
107,247.74303423177517,299.9447856249289,177.63243489139077,232.54008870692593,135.59837370635736,85.20032980780164,0.23463549695929906,0.05813122237909541,SiL,06/08/2018,2948,107,17.06023090429775,106.92323684692383,0.4217424028883675,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[106.92193253159313,17.0590057135619],[106.92427034755629,17.0590057135619],[106.92427034755629,17.06125499777825],[106.92193253159313,17.06125499777825],[106.92193253159313,17.0590057135619]]]}"
