system:index,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,id,.geo
106,0,0,0,0,0,393433,0,0,0,0,0,0,9408452,0,0,2180.0,
111,0,0,0,0,0,0,0,0,0,1061981,0,81261,0,0,1274339,2191.0,
129,5041887,3320100,0,0,0,382,0,0,0,12740108,174638,0,0,0,176722,2261.0,
131,313,0,0,0,0,0,0,0,0,8131258,0,0,0,0,176724,2269.0,
136,0,0,0,26905,0,0,0,0,0,6630921,1513971,533138,0,2414951,1702142,2296.0,
140,680781,3861048,0,0,0,722516,0,0,0,13005380,366163,0,0,841069,220605,2332.0,
151,245013,0,0,0,0,7222762,4410,0,230181,315834,365791,0,936596,1590246,0,2366.0,
179,0,0,0,0,0,5882551,0,0,0,0,0,0,189418,0,0,2444.0,
182,22901,0,0,0,0,0,0,0,0,0,0,0,4635568,0,0,2458.0,
184,0,0,0,0,0,5242442,0,0,0,0,0,0,189418,0,0,2461.0,
205,3604210,406016,259,0,0,0,192518,4730874,0,0,31381,0,0,0,0,2543.0,
212,0,0,0,0,0,678766,0,0,0,823115,256942,0,981087,4738171,0,2584.0,
219,0,0,0,0,0,0,0,0,0,11133804,1920264,0,270128,14010920,0,2597.0,
251,0,0,0,26905,0,0,0,0,0,8037440,489114,455242,0,3668193,1568765,2688.0,
26,0,0,0,763386,0,0,0,0,0,0,0,16581087,0,0,0,1931.0,
260,0,0,0,0,0,0,0,0,0,8319685,489116,0,0,3668187,806648,2711.0,
288,0,0,0,0,8215221,17024110,0,0,0,0,0,0,189418,0,0,2780.0,
301,160933,0,0,0,330219,5831057,0,0,0,0,0,0,14492249,483379,0,2821.0,
307,0,0,0,0,0,0,0,0,0,2662769,0,4820620,0,6871672,0,2829.0,
32,3013034,1896250,0,0,0,0,0,0,0,12152550,154107,0,0,0,176724,1971.0,
339,1521648,0,0,0,0,0,105939,2525835,0,0,0,0,0,0,0,2948.0,
348,0,0,0,0,0,1339129,0,0,0,10312634,2370675,4820613,0,46288150,0,3070.0,
351,0,0,0,1909062,0,0,0,0,0,0,0,40283628,0,0,0,3075.0,
362,6920119,2011575,0,0,0,0,13501,0,0,13537853,154111,0,0,0,189409,3094.0,
422,3381916,0,0,0,0,9607,441973,1937760,336679,0,0,0,327754,0,0,3205.0,
461,3013033,3861048,0,0,0,722516,0,0,0,16859461,366163,0,0,841069,220605,3345.0,
485,0,0,0,0,0,0,0,0,0,2662769,0,4820620,0,6871672,0,3464.0,
489,0,0,36479,9913632,0,0,0,0,0,0,0,14775635,0,0,0,3476.0,
517,0,0,0,0,0,1339128,0,0,0,23986497,1079663,0,0,39759831,0,3625.0,
547,0,0,0,0,0,0,0,0,0,2662771,0,7117250,0,7795742,0,3673.0,
550,5435094,1896250,0,0,0,0,0,0,0,5513392,154112,0,0,0,0,3678.0,
555,4418621,3861047,0,0,0,722514,0,0,0,16110921,366171,0,0,841067,220602,3692.0,
582,294470,0,0,0,330220,4372821,0,0,0,1409,0,0,13073233,483381,0,3786.0,
593,2286581,0,0,0,0,0,192518,3424753,0,0,0,0,0,0,0,3850.0,
596,1820420,26391,7641,0,0,0,0,0,3472,37860,6200,0,56925,0,0,3856.0,
605,4561052,0,0,0,0,713363,523254,3434105,1071129,0,0,0,327749,0,0,3871.0,
621,177814,0,0,0,330220,6533501,0,0,0,1018071,0,0,17098240,6289032,0,3894.0,
637,0,0,0,4971566,0,0,0,0,0,0,0,12627594,0,0,0,3931.0,
650,0,0,0,0,0,0,0,0,0,2540108,1771394,0,270127,5813681,0,3977.0,
66,0,0,104594,92910,0,0,0,0,0,0,64128,287689,0,0,0,2075.0,
67,0,0,0,0,0,6848497,0,0,212038,636781,476902,0,1020649,5433387,0,2076.0,
674,294472,0,0,0,330220,8976214,0,0,0,1669138,0,0,22123422,3318193,0,4024.0,
685,0,0,0,1116823,0,0,0,0,0,12653419,3170306,18481962,0,10979852,3967201,4083.0,
726,160934,0,0,0,0,28180622,0,0,0,0,0,0,21967792,0,0,4218.0,
733,271699,0,0,0,330220,7929726,0,0,0,1409,0,0,15063595,483380,0,4226.0,
74,0,0,0,0,486859,617108,0,0,0,0,645671,0,0,927061,0,2104.0,
760,0,0,0,0,0,1339131,0,0,0,14811602,2370669,0,0,43261567,0,4314.0,
783,1412519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4364.0,
798,0,0,0,0,0,19095494,0,0,0,0,0,0,17885313,0,0,4428.0,
803,0,0,0,0,978070,3646780,20917,24923,1150,0,480909,0,0,924800,0,4444.0,
95,0,0,0,0,0,0,57687,0,0,14148853,3009929,0,532210,21074387,357411,2167.0,
79,2418817,103848,0,0,0,0,10484,0,0,0,0,0,14310298,0,385395,2119.0,
780,885114,36556,0,0,0,0,7421,0,0,0,0,0,5196934,0,280715,4357.0,
405,3263553,47015,0,0,0,4932579,189330,0,0,0,0,0,39309708,0,1020930,3166.0,
338,608905,47015,0,0,0,22347106,19,0,0,0,0,0,46567838,0,1032269,2947.0,
145,25190,47014,0,0,0,8,0,0,0,0,0,0,7954828,0,392753,2345.0,
137,99007,119136,0,0,0,1761032,0,0,0,0,0,0,23610209,0,238038,2303.0,
411,16296,0,0,0,0,3607427,0,0,0,0,0,0,20261319,0,85573,3179.0,
672,1555364,119956,0,0,0,0,7169,0,0,0,0,0,14083707,0,518340,4022.0,
