system:index,B1,B2,B3,B4,B5,B7,MNDWI,NDVI,analyst,date,dfoID,id,lat,lon,random,strata,validation,.geo
0,329.72494995878986,590.3019545508068,426.92776404097526,3000.740963146123,1835.8806075591676,855.2991286942192,-0.6713491837035733,0.7509863039842815,SiL,06/08/2018,2119,0,-16.217950618174537,39.54726219177246,0.08991118031070522,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.54604554812976,-16.219083986641188],[39.54837311730631,-16.219083986641188],[39.54837311730631,-16.216834702429914],[39.54604554812976,-16.216834702429914],[39.54604554812976,-16.219083986641188]]]}"
1,508.73298457849705,814.4531088224072,834.1531251702901,3383.1002670154203,2876.1929595117413,1773.0040869707361,-0.6110382188548761,0.6053722548419876,SiL,06/08/2018,2119,1,-15.892225887214352,39.490957260131836,0.07603621576622765,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.489902741850365,-15.89344469614787],[39.492226507077106,-15.89344469614787],[39.492226507077106,-15.891195411936545],[39.489902741850365,-15.891195411936545],[39.489902741850365,-15.89344469614787]]]}"
10,373.77684233544744,635.5834244478465,617.6777826372189,3330.575224141702,2344.8730592608804,1401.8165318171884,-0.6800681494304687,0.6906739844252274,SiL,06/08/2018,2119,10,-15.456389534927736,39.7514533996582,0.6459288437500565,0,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.75041664689685,-15.457761783349925],[39.75273545901653,-15.457761783349925],[39.75273545901653,-15.455512499138527],[39.75041664689685,-15.455512499138527],[39.75041664689685,-15.457761783349925]]]}"
100,281.65245759025663,293.03566768160067,246.82209656372333,240.57128099173556,98.96623531970421,64.8070356676816,0.15098919610950975,-0.06628807009275241,SiL,06/08/2018,2119,100,-16.220175814977317,39.87504959106445,0.25954607364957805,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.87393061358505,-16.221329774851487],[39.87625820930018,-16.221329774851487],[39.87625820930018,-16.219080490640213],[39.87393061358505,-16.219080490640213],[39.87393061358505,-16.221329774851487]]]}"
101,483.2890068980621,635.4118033504876,695.7643709624442,371.4448155042158,91.09766779809486,69.19161283258512,0.2614416973352777,-0.2945042490699701,SiL,06/08/2018,2119,101,-15.173604174198953,40.51054000854492,0.8551620801020733,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[40.50949462654199,-15.174792468852278],[40.51181030459645,-15.174792468852278],[40.51181030459645,-15.172543184640835],[40.50949462654199,-15.172543184640835],[40.50949462654199,-15.174792468852278]]]}"
102,367.19523472773756,519.5820595115052,502.0124027634225,633.6742098678125,298.58418103682743,135.71772833596256,0.1314172580961551,-0.11682061220341268,SiL,06/08/2018,2119,102,-16.316659193494996,39.776344299316406,0.9352878412056337,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.775115360675535,-16.31789866789433],[39.77744410150775,-16.31789866789433],[39.77744410150775,-16.31564938368307],[39.775115360675535,-16.31564938368307],[39.775115360675535,-16.31789866789433]]]}"
103,378.2541478539954,521.4902355437086,532.6939019746502,1821.956046347168,998.3205135179239,550.1362128053087,-0.48776106739922437,0.5032279766432761,SiL,06/08/2018,2119,103,-16.22240098664004,39.87504959106445,0.4670652984606505,1,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.87393060033459,-16.223575563061793],[39.87625822259247,-16.223575563061793],[39.87625822259247,-16.221326278850515],[39.87393060033459,-16.221326278850515],[39.87393060033459,-16.223575563061793]]]}"
104,461.11736587206747,612.6311717718095,656.2173721617712,850.5522359896848,510.1515189634568,290.4075099062835,-0.02635188429842329,-0.005729919664381449,SiL,06/08/2018,2119,104,-16.341369755094732,39.574127197265625,0.6305780715749474,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.572994274889936,-16.34260233820762],[39.57532330990309,-16.34260233820762],[39.57532330990309,-16.34035305399636],[39.572994274889936,-16.34035305399636],[39.572994274889936,-16.34260233820762]]]}"
105,367.75169901593,498.7964442994618,495.58114500081575,486.76235524384305,274.47300603490464,125.98477681726746,0.17262813189664497,-0.16523068261265858,SiL,06/08/2018,2119,105,-16.30792738218961,39.785099029541016,0.7922646532130729,1,1,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.78409856685711,-16.308915515053137],[39.786427200840194,-16.308915515053137],[39.786427200840194,-16.306666230841877],[39.78409856685711,-16.306666230841877],[39.78409856685711,-16.308915515053137]]]}"
106,411.8714029266168,525.0845346243808,548.2586084969806,1146.1104281129296,675.6928140129465,292.7978567154436,-0.32680871907617803,0.3112840488053313,SiL,06/08/2018,2119,106,-16.29655896900898,39.81891632080078,0.940692234191343,1,0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[39.817785456640024,-16.29768657400165],[39.820113957155954,-16.29768657400165],[39.820113957155954,-16.295437289790385],[39.817785456640024,-16.295437289790385],[39.817785456640024,-16.29768657400165]]]}"
