DFOID ,Score,Metric
2948,7,False Positives
2180,6,False Positives
3850,9,False Positives
2829,56,False Positives
4241,4,False Positives
3218,19,False Positives
2584,26,False Positives
2586,64,False Positives
4507,5,False Positives
3871,16,False Positives
4516,2,False Positives
2473,0,False Positives
3754,20,False Positives
2104,21,False Positives
2366,5,False Positives
4163,28,False Positives
3267,5,False Positives
2119,5,False Positives
3657,14,False Positives
4427,11,False Positives
4171,2,False Positives
3916,30,False Positives
3667,19,False Positives
4435,26,False Positives
2261,10,False Positives
2395,19,False Positives
4315,32,False Positives
2780,13,False Positives
2143,0,False Positives
2024,7,False Positives
2543,23,False Positives
2940,0,False Positives
2045,8,False Positives
3070,6,False Positives
2303,15,False Positives
4226,0,False Negatives
2947,0,False Negatives
2948,3,False Negatives
2180,2,False Negatives
3850,3,False Negatives
2829,1,False Negatives
4241,1,False Negatives
3218,2,False Negatives
2584,0,False Negatives
2586,0,False Negatives
4507,4,False Negatives
3871,2,False Negatives
4516,4,False Negatives
2473,6,False Negatives
3754,0,False Negatives
2104,0,False Negatives
2366,0,False Negatives
4163,0,False Negatives
3267,0,False Negatives
2119,2,False Negatives
3657,0,False Negatives
4427,2,False Negatives
4171,1,False Negatives
3916,0,False Negatives
3667,6,False Negatives
4435,0,False Negatives
2261,7,False Negatives
2395,2,False Negatives
4315,0,False Negatives
2780,0,False Negatives
2143,0,False Negatives
2024,1,False Negatives
2543,0,False Negatives
2940,0,False Negatives
2045,4,False Negatives
3070,0,False Negatives
2303,0,False Negatives
