,Flood,NumofPoints,tp,tn,fp,fn,precision,recall,overall_accuracy,commission,omission
197,4226,199.0,111.0,43.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
396,2947,199.0,95.0,44.0,12.0,0.0,0.8878504672897196,1.0,0.9205298013245033,0.11214953271028037,0.0
595,2948,199.0,88.0,40.0,11.0,1.0,0.8888888888888888,0.9887640449438202,0.9142857142857143,0.1111111111111111,0.011235955056179775
792,2180,199.0,99.0,31.0,6.0,1.0,0.9428571428571428,0.99,0.948905109489051,0.05714285714285714,0.01
990,3850,199.0,82.0,43.0,25.0,2.0,0.7663551401869159,0.9761904761904762,0.8223684210526315,0.2336448598130841,0.023809523809523808
1168,2829,199.0,9.0,49.0,96.0,2.0,0.08571428571428572,0.8181818181818182,0.3717948717948718,0.9142857142857143,0.18181818181818182
1365,4241,199.0,98.0,45.0,10.0,0.0,0.9074074074074074,1.0,0.934640522875817,0.09259259259259259,0.0
1563,3218,199.0,68.0,46.0,37.0,4.0,0.6476190476190476,0.9444444444444444,0.7354838709677419,0.3523809523809524,0.05555555555555555
1762,2584,199.0,81.0,47.0,38.0,0.0,0.680672268907563,1.0,0.7710843373493976,0.31932773109243695,0.0
1955,2586,199.0,36.0,19.0,101.0,0.0,0.26277372262773724,1.0,0.3525641025641026,0.7372262773722628,0.0
2154,4507,199.0,93.0,46.0,2.0,4.0,0.9789473684210527,0.9587628865979382,0.9586206896551724,0.021052631578947368,0.041237113402061855
2351,3871,199.0,79.0,47.0,28.0,2.0,0.7383177570093458,0.9753086419753086,0.8076923076923077,0.2616822429906542,0.024691358024691357
2549,4516,199.0,91.0,51.0,6.0,3.0,0.9381443298969072,0.9680851063829787,0.9403973509933775,0.061855670103092786,0.031914893617021274
2746,2473,199.0,102.0,38.0,0.0,10.0,1.0,0.9107142857142857,0.9333333333333333,0.0,0.08928571428571429
2943,3754,199.0,65.0,44.0,40.0,1.0,0.6190476190476191,0.9848484848484849,0.7266666666666667,0.38095238095238093,0.015151515151515152
3141,2104,199.0,56.0,53.0,36.0,0.0,0.6086956521739131,1.0,0.7517241379310344,0.391304347826087,0.0
3339,2366,199.0,98.0,55.0,8.0,0.0,0.9245283018867925,1.0,0.9503105590062112,0.07547169811320754,0.0
3537,4163,199.0,59.0,54.0,41.0,0.0,0.59,1.0,0.7337662337662337,0.41,0.0
3734,3267,199.0,93.0,44.0,8.0,0.0,0.9207920792079208,1.0,0.9448275862068966,0.07920792079207921,0.0
3929,2119,199.0,91.0,43.0,9.0,2.0,0.91,0.978494623655914,0.9241379310344827,0.09,0.021505376344086023
4127,3657,199.0,76.0,40.0,18.0,0.0,0.8085106382978723,1.0,0.8656716417910447,0.19148936170212766,0.0
4325,4427,199.0,94.0,54.0,12.0,0.0,0.8867924528301887,1.0,0.925,0.11320754716981132,0.0
4523,4171,199.0,115.0,28.0,0.0,3.0,1.0,0.9745762711864406,0.9794520547945206,0.0,0.025423728813559324
4720,3916,199.0,68.0,44.0,35.0,0.0,0.6601941747572816,1.0,0.7619047619047619,0.33980582524271846,0.0
4916,3667,199.0,69.0,52.0,21.0,8.0,0.7666666666666667,0.8961038961038961,0.8066666666666666,0.23333333333333334,0.1038961038961039
5114,4435,199.0,58.0,54.0,44.0,0.0,0.5686274509803921,1.0,0.717948717948718,0.43137254901960786,0.0
5313,2261,199.0,92.0,42.0,12.0,3.0,0.8846153846153846,0.968421052631579,0.8993288590604027,0.11538461538461539,0.031578947368421054
5511,2395,199.0,72.0,53.0,20.0,3.0,0.782608695652174,0.96,0.8445945945945946,0.21739130434782608,0.04
5705,4315,199.0,57.0,43.0,44.0,0.0,0.5643564356435643,1.0,0.6944444444444444,0.43564356435643564,0.0
5901,2780,199.0,50.0,62.0,24.0,1.0,0.6756756756756757,0.9803921568627451,0.8175182481751825,0.32432432432432434,0.0196078431372549
6098,2143,199.0,99.0,51.0,2.0,2.0,0.9801980198019802,0.9801980198019802,0.974025974025974,0.019801980198019802,0.019801980198019802
6297,2024,199.0,95.0,44.0,16.0,2.0,0.8558558558558559,0.979381443298969,0.8853503184713376,0.14414414414414414,0.020618556701030927
6493,2543,199.0,74.0,49.0,30.0,0.0,0.7115384615384616,1.0,0.803921568627451,0.28846153846153844,0.0
6689,2940,199.0,37.0,75.0,1.0,0.0,0.9736842105263158,1.0,0.9911504424778761,0.02631578947368421,0.0
6884,2045,199.0,44.0,59.0,12.0,5.0,0.7857142857142857,0.8979591836734694,0.8583333333333333,0.21428571428571427,0.10204081632653061
7081,3070,199.0,89.0,51.0,10.0,1.0,0.898989898989899,0.9888888888888889,0.9271523178807947,0.10101010101010101,0.011111111111111112
7278,2303,199.0,81.0,44.0,30.0,0.0,0.7297297297297297,1.0,0.8064516129032258,0.2702702702702703,0.0
