system:index,Flood Algorithm,Flood ID,accuracy,fMeasure,fn,fp,precision,recall,tn,tp,.geo
0,MODIS,1,0.9852550869949868,0.9502982107355864,66,34,0.9656565656565657,0.9354207436399217,5726,956,
1,MODIS_Otsu,1,0.9852550869949868,0.9502982107355864,66,34,0.9656565656565657,0.9354207436399217,5726,956,
2,Landsat,1,0.9852550869949868,0.9502982107355864,66,34,0.9656565656565657,0.9354207436399217,5726,956,
